iter	R2	RMSE
0	-71.55798927	8.078858651
1	-37.52645371	5.886903376
2	-19.67577865	4.312591547
3	-10.29776084	3.187891845
4	-5.388036042	2.397127141
5	-2.730611983	1.831881727
6	-1.369726895	1.460012382
7	-0.6177903807	1.206336628
8	-0.223437829	1.049055204
9	-0.02519921242	0.9603101566
10	0.08854447836	0.9054722194
11	0.1634045362	0.8674913298
12	0.2078489139	0.8441340157
13	0.2379369228	0.8279475975
14	0.2571256967	0.8174572656
15	0.2741055498	0.8080609658
16	0.2875809631	0.8005254588
17	0.2977869361	0.7947706901
18	0.3065823829	0.7897776253
19	0.315689974	0.7845738731
20	0.322725238	0.7805304248
21	0.329297368	0.7767341423
22	0.3353876302	0.7731995637
23	0.3416458342	0.7695506054
24	0.3481922054	0.765715018
25	0.3538661459	0.7623749861
26	0.3608761828	0.7582281276
27	0.3670764129	0.7545413254
28	0.3713895089	0.7519659968
29	0.3759981731	0.7492044026
30	0.3802291881	0.7466601099
31	0.3857179649	0.743346494
32	0.3908312238	0.7402462358
33	0.3955897634	0.7373493399
34	0.400148741	0.7345632173
35	0.4046194253	0.7318207523
36	0.4090404263	0.7290986206
37	0.4134781872	0.7263559097
38	0.4177382736	0.7237132303
39	0.4216158917	0.721299392
40	0.425244331	0.7190333298
41	0.4286680702	0.7168885404
42	0.4320547235	0.7147606518
43	0.4354529196	0.7126191241
44	0.4390726016	0.7103309159
45	0.4423632612	0.7082442863
46	0.4454178966	0.706301804
47	0.448510942	0.7043294377
48	0.4513453025	0.7025171668
49	0.4543508102	0.7005903444
50	0.4572562516	0.6987226232
51	0.4598936218	0.6970228945
52	0.4623642514	0.6954268577
53	0.465028466	0.6937016493
54	0.4676083119	0.692026975
55	0.4701863662	0.6903494054
56	0.4727286227	0.6886911283
57	0.4752244275	0.6870592575
58	0.4777359072	0.6854132159
59	0.4801973689	0.6837961117
60	0.4825890162	0.6822212018
61	0.4850634148	0.6805879642
62	0.4874444401	0.679012649
63	0.4898074662	0.6774456206
64	0.4919708846	0.6760077759
65	0.4942296698	0.6745032781
66	0.4963450823	0.6730912263
67	0.4983331233	0.6717614904
68	0.5001784681	0.6705248394
69	0.5023062336	0.6690960882
70	0.5041837568	0.6678328311
71	0.5060805364	0.6665541864
72	0.5080217242	0.6652430611
73	0.5099111607	0.6639644034
74	0.5115556436	0.6628495079
75	0.5132016138	0.6617317233
76	0.5150222381	0.6604931269
77	0.5167412569	0.6593215186
78	0.5184377867	0.6581631928
79	0.5198917396	0.6571688648
80	0.5214987121	0.6560681365
81	0.5231421421	0.6549405226
82	0.5247243174	0.6538531003
83	0.526333837	0.6527450257
84	0.5277329188	0.6517802966
85	0.5292807856	0.6507113071
86	0.5307862894	0.649669887
87	0.5323186199	0.6486081927
88	0.5338275903	0.6475609826
89	0.5353606672	0.6464953057
90	0.5368170908	0.6454812826
91	0.5383311783	0.6444254199
92	0.5397769887	0.6434155536
93	0.5412658083	0.6423739871
94	0.5427038399	0.6413663457
95	0.5440263169	0.6404382749
96	0.5455288628	0.6393822031
97	0.5467466035	0.6385250266
98	0.5481035294	0.637568519
99	0.5495030113	0.6365805079
