iter	Passed	Remaining
0	0	81
1	1	84
2	2	81
3	3	78
4	3	75
5	4	74
6	5	73
7	6	72
8	7	72
9	7	71
10	8	70
11	9	69
12	10	68
13	11	67
14	11	66
15	12	65
16	13	64
17	14	63
18	14	62
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	55
30	24	54
31	25	53
32	26	53
33	26	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
