iter	RMSE
0	0.8331053687
1	0.7686552011
2	0.731897384
3	0.7027093678
4	0.6766935837
5	0.6572100592
6	0.6398813745
7	0.6238350128
8	0.6110503978
9	0.6005907837
10	0.5885991924
11	0.5795865445
12	0.5713219946
13	0.5634150226
14	0.5582274238
15	0.5474209977
16	0.5404084123
17	0.5337703402
18	0.5254418947
19	0.5188448661
20	0.512132036
21	0.5054301485
22	0.4990091281
23	0.4933022605
24	0.487291284
25	0.481730586
26	0.4760601322
27	0.470533199
28	0.4648162259
29	0.4589434148
30	0.4541899926
31	0.4500965586
32	0.4465970702
33	0.4427484109
34	0.4393606747
35	0.4359881678
36	0.4317691063
37	0.4249410456
38	0.4218051064
39	0.4183055072
40	0.4153021174
41	0.4122753843
42	0.409315008
43	0.4062041101
44	0.4030176824
45	0.3992949917
46	0.3951734343
47	0.3921703368
48	0.389796524
49	0.3868089918
50	0.3816161209
51	0.3789015687
52	0.3748193085
53	0.3713415428
54	0.3677277482
55	0.3659575982
56	0.3628005145
57	0.3608284196
58	0.3568372809
59	0.3548359409
60	0.3530775798
61	0.3511561802
62	0.3491427477
63	0.3465336714
64	0.3447400372
65	0.3429295495
66	0.3408758075
67	0.3385345709
68	0.3362160338
69	0.3340075086
70	0.3316569783
71	0.3298175567
72	0.3281033205
73	0.3262767813
74	0.3248239685
75	0.3229599098
76	0.3214459773
77	0.3198561156
78	0.3177539935
79	0.3160228518
80	0.3142248733
81	0.3124991385
82	0.3104206078
83	0.3093488994
84	0.3080966696
85	0.3061033082
86	0.3042167189
87	0.3029655264
88	0.3015822492
89	0.3001074384
90	0.2986557498
91	0.2969582313
92	0.2957377456
93	0.2944313978
94	0.2930144756
95	0.2916930396
96	0.2903630071
97	0.2891308875
98	0.2877401427
99	0.2863828051
100	0.2851046074
101	0.2835379163
102	0.2823470374
103	0.2810672648
104	0.2792849503
105	0.2779650866
106	0.2765565532
107	0.2755149417
108	0.2741803583
109	0.2730765738
110	0.2720244197
111	0.2709153051
112	0.269983157
113	0.268825634
114	0.2677404429
115	0.2667559961
116	0.2655994941
117	0.2646379069
118	0.2637196751
119	0.2628102327
120	0.2618104431
121	0.2604850864
122	0.2595319752
123	0.2583451267
124	0.257053006
125	0.2557970258
126	0.2548284634
127	0.2537271809
128	0.2523276238
129	0.2512057034
130	0.2503877335
131	0.2494185679
