iter	Passed	Remaining
0	142	142488
1	149	74703
2	156	52134
3	164	40969
4	172	34330
5	180	29874
6	188	26695
7	195	24251
8	203	22380
9	210	20865
10	218	19622
11	225	18572
12	232	17667
13	240	16933
14	248	16299
15	255	15708
16	262	15181
17	269	14710
18	276	14296
19	284	13942
20	292	13619
21	299	13321
22	306	13037
23	314	12769
24	322	12561
25	329	12342
26	336	12131
27	344	11942
28	350	11738
29	357	11565
30	364	11393
31	371	11228
32	378	11081
33	385	10950
34	392	10815
35	399	10689
36	406	10582
37	414	10483
38	421	10380
39	428	10273
40	434	10169
41	442	10082
42	449	10001
43	456	9924
44	464	9860
45	471	9786
46	478	9709
47	485	9633
48	492	9566
49	500	9504
50	507	9441
51	514	9386
52	521	9321
53	528	9261
54	535	9206
55	543	9157
56	549	9099
57	557	9053
58	564	9008
59	572	8964
60	579	8919
61	586	8873
62	593	8831
63	600	8787
64	607	8741
65	614	8692
66	621	8652
67	628	8614
68	635	8577
69	642	8539
70	650	8505
71	657	8476
72	665	8447
73	672	8416
74	678	8371
75	684	8326
76	691	8289
77	697	8250
78	704	8209
79	710	8171
80	716	8131
81	722	8093
82	729	8058
83	735	8021
84	741	7986
85	747	7949
86	754	7913
87	760	7880
88	766	7846
89	772	7813
90	778	7777
91	784	7747
92	791	7714
93	797	7683
94	803	7653
95	809	7622
96	815	7594
97	822	7566
98	828	7536
99	834	7506
100	840	7478
101	846	7454
102	852	7426
103	858	7397
104	864	7368
105	870	7345
106	877	7319
107	882	7292
108	888	7263
109	894	7241
110	901	7216
111	906	7190
112	912	7165
113	918	7141
114	924	7116
115	930	7091
116	936	7066
117	942	7042
118	948	7021
119	954	6999
120	960	6975
121	966	6952
122	971	6929
123	977	6908
124	983	6886
125	989	6864
126	995	6841
127	1001	6820
128	1007	6801
129	1013	6782
130	1019	6764
131	1025	6743
132	1031	6722
133	1037	6702
134	1043	6682
135	1049	6664
136	1054	6644
137	1060	6626
138	1067	6611
139	1072	6587
140	1078	6571
141	1085	6559
142	1091	6540
143	1098	6527
144	1104	6510
145	1109	6492
146	1116	6477
147	1122	6459
148	1127	6442
149	1133	6423
150	1139	6407
151	1145	6389
152	1148	6360
153	1152	6332
154	1156	6303
155	1160	6277
156	1163	6248
157	1167	6222
158	1171	6195
159	1174	6168
160	1178	6141
161	1182	6115
162	1185	6088
163	1189	6061
164	1192	6037
165	1196	6011
166	1200	5988
167	1204	5963
168	1207	5939
169	1211	5914
170	1215	5891
171	1218	5867
172	1222	5844
173	1226	5820
174	1229	5797
175	1233	5773
176	1236	5750
177	1240	5727
178	1243	5704
179	1247	5683
180	1250	5660
181	1254	5639
182	1258	5618
183	1262	5597
184	1265	5575
185	1269	5556
186	1273	5535
187	1277	5515
188	1280	5495
189	1284	5477
190	1288	5457
191	1292	5439
192	1296	5420
193	1300	5401
194	1303	5382
195	1307	5362
196	1310	5343
197	1314	5325
198	1318	5307
199	1322	5290
200	1326	5272
201	1330	5256
202	1334	5238
203	1337	5219
204	1341	5202
205	1345	5184
206	1348	5167
207	1352	5149
208	1355	5131
209	1359	5114
210	1363	5098
211	1367	5081
212	1371	5066
213	1374	5048
214	1378	5031
215	1381	5015
216	1385	4998
217	1389	4982
218	1393	4967
219	1396	4952
220	1400	4936
221	1404	4920
222	1407	4905
223	1411	4889
224	1415	4874
225	1419	4860
226	1422	4844
227	1426	4829
228	1429	4813
229	1433	4799
230	1437	4784
231	1440	4769
232	1444	4754
233	1447	4738
234	1451	4723
235	1454	4708
236	1458	4695
237	1461	4680
238	1465	4667
239	1469	4652
240	1472	4637
241	1476	4623
242	1479	4609
243	1483	4595
244	1486	4580
245	1489	4566
246	1493	4552
247	1496	4538
248	1500	4524
249	1503	4511
250	1507	4497
251	1510	4484
252	1514	4471
253	1518	4458
254	1521	4445
255	1525	4432
256	1528	4419
257	1532	4406
258	1535	4393
259	1539	4380
260	1542	4368
261	1546	4355
262	1549	4342
263	1553	4329
264	1556	4316
265	1560	4304
266	1563	4292
267	1567	4280
268	1571	4269
269	1574	4257
270	1578	4245
271	1581	4233
272	1585	4221
273	1588	4209
274	1592	4197
275	1595	4186
276	1599	4175
277	1603	4163
278	1606	4152
279	1610	4140
280	1613	4129
281	1617	4117
282	1620	4106
283	1624	4094
284	1627	4083
285	1631	4072
286	1635	4062
287	1638	4051
288	1642	4040
289	1646	4030
290	1650	4020
291	1653	4009
292	1657	3999
293	1661	3989
294	1664	3977
295	1668	3967
296	1671	3956
297	1675	3945
298	1678	3934
299	1681	3924
300	1685	3914
301	1689	3903
302	1692	3893
303	1696	3883
304	1699	3872
305	1703	3862
306	1706	3852
307	1710	3842
308	1713	3832
309	1717	3822
310	1720	3812
311	1724	3801
312	1727	3792
313	1731	3782
314	1734	3772
315	1738	3763
316	1742	3753
317	1746	3745
318	1750	3736
319	1753	3726
320	1757	3717
321	1761	3708
322	1764	3698
323	1768	3689
324	1771	3680
325	1775	3671
326	1779	3662
327	1783	3653
328	1786	3643
329	1790	3635
330	1794	3626
331	1797	3616
332	1801	3607
333	1804	3598
334	1808	3589
335	1811	3579
336	1815	3570
337	1818	3561
338	1821	3552
339	1825	3543
340	1829	3534
341	1832	3526
342	1836	3517
343	1839	3508
344	1843	3499
345	1846	3490
346	1850	3481
347	1853	3473
348	1857	3464
349	1860	3455
350	1864	3446
351	1867	3437
352	1871	3429
353	1874	3420
354	1877	3411
355	1881	3403
356	1884	3394
357	1888	3386
358	1891	3377
359	1894	3368
360	1898	3360
361	1901	3351
362	1905	3343
363	1909	3335
364	1912	3327
365	1915	3318
366	1919	3311
367	1923	3302
368	1926	3294
369	1929	3285
370	1933	3278
371	1936	3269
372	1940	3261
373	1943	3253
374	1947	3245
375	1950	3237
376	1954	3229
377	1957	3221
378	1961	3213
379	1964	3205
380	1968	3198
381	1972	3190
382	1975	3182
383	1979	3174
384	1982	3166
385	1986	3159
386	1989	3151
387	1993	3143
388	1996	3136
389	2000	3128
390	2003	3121
391	2007	3113
392	2010	3105
393	2014	3098
394	2017	3090
395	2021	3082
396	2024	3074
397	2028	3067
398	2031	3060
399	2035	3052
400	2038	3045
401	2042	3037
402	2045	3030
403	2049	3022
404	2052	3015
405	2055	3007
406	2059	3000
407	2062	2992
408	2066	2985
409	2069	2978
410	2073	2971
411	2076	2963
412	2080	2956
413	2083	2949
414	2087	2941
415	2090	2934
416	2094	2927
417	2097	2921
418	2101	2913
419	2105	2907
420	2108	2899
421	2111	2892
422	2115	2885
423	2118	2878
424	2122	2871
425	2125	2864
426	2129	2857
427	2133	2850
428	2136	2843
429	2140	2836
430	2143	2830
431	2147	2823
432	2150	2816
433	2154	2809
434	2157	2802
435	2161	2795
436	2164	2788
437	2168	2782
438	2171	2775
439	2175	2768
440	2178	2761
441	2181	2754
442	2185	2747
443	2188	2740
444	2192	2734
445	2195	2727
446	2199	2720
447	2202	2714
448	2206	2707
449	2209	2700
450	2213	2694
451	2216	2687
452	2219	2680
453	2223	2674
454	2226	2667
455	2230	2660
456	2233	2654
457	2237	2647
458	2240	2640
459	2244	2634
460	2247	2627
461	2251	2621
462	2254	2614
463	2258	2608
464	2261	2601
465	2264	2595
466	2268	2589
467	2271	2582
468	2275	2576
469	2279	2570
470	2282	2563
471	2286	2557
472	2289	2551
473	2293	2544
474	2296	2538
475	2300	2532
476	2303	2525
477	2307	2519
478	2310	2513
479	2314	2507
480	2317	2501
481	2321	2494
482	2325	2488
483	2328	2482
484	2332	2476
485	2335	2469
486	2338	2463
487	2342	2457
488	2345	2451
489	2349	2445
490	2352	2439
491	2356	2433
492	2360	2427
493	2363	2420
494	2366	2414
495	2370	2408
496	2373	2402
497	2377	2396
498	2381	2390
499	2384	2384
500	2388	2378
501	2391	2372
502	2394	2366
503	2398	2360
504	2401	2354
505	2404	2347
506	2408	2341
507	2411	2335
508	2415	2329
509	2418	2323
510	2422	2317
511	2425	2311
512	2429	2305
513	2432	2299
514	2436	2294
515	2439	2288
516	2443	2282
517	2446	2276
518	2450	2270
519	2453	2265
520	2457	2259
521	2460	2253
522	2464	2247
523	2467	2241
524	2471	2235
525	2474	2230
526	2478	2224
527	2482	2218
528	2485	2213
529	2489	2207
530	2492	2201
531	2496	2196
532	2499	2190
533	2503	2184
534	2506	2178
535	2510	2172
536	2513	2167
537	2517	2161
538	2522	2157
539	2526	2151
540	2529	2146
541	2533	2140
542	2536	2134
543	2539	2129
544	2543	2123
545	2546	2117
546	2550	2112
547	2553	2106
548	2557	2100
549	2560	2095
550	2564	2089
551	2567	2083
552	2571	2078
553	2574	2072
554	2578	2067
555	2581	2061
556	2585	2056
557	2589	2050
558	2592	2045
559	2596	2039
560	2599	2034
561	2603	2028
562	2606	2023
563	2610	2017
564	2613	2012
565	2617	2006
566	2620	2001
567	2624	1995
568	2627	1990
569	2631	1985
570	2634	1979
571	2638	1974
572	2641	1968
573	2645	1963
574	2649	1958
575	2652	1952
576	2656	1947
577	2659	1941
578	2663	1936
579	2666	1931
580	2670	1925
581	2673	1920
582	2677	1914
583	2680	1909
584	2684	1904
585	2688	1899
586	2691	1893
587	2695	1888
588	2698	1883
589	2702	1877
590	2706	1872
591	2709	1867
592	2712	1862
593	2716	1856
594	2720	1851
595	2723	1846
596	2727	1840
597	2730	1835
598	2734	1830
599	2738	1825
600	2742	1820
601	2745	1815
602	2749	1810
603	2753	1805
604	2756	1799
605	2760	1794
606	2764	1789
607	2767	1784
608	2771	1779
609	2774	1774
610	2778	1769
611	2782	1763
612	2785	1758
613	2789	1753
614	2792	1748
615	2796	1743
616	2800	1738
617	2803	1733
618	2807	1728
619	2810	1722
620	2814	1717
621	2817	1712
622	2821	1707
623	2824	1702
624	2828	1696
625	2831	1691
626	2835	1686
627	2838	1681
628	2842	1676
629	2845	1671
630	2849	1666
631	2852	1661
632	2856	1655
633	2859	1650
634	2863	1645
635	2866	1640
636	2870	1635
637	2873	1630
638	2876	1625
639	2880	1620
640	2883	1615
641	2887	1610
642	2890	1604
643	2894	1599
644	2897	1594
645	2901	1589
646	2904	1584
647	2908	1579
648	2911	1574
649	2914	1569
650	2918	1564
651	2921	1559
652	2925	1554
653	2928	1549
654	2932	1544
655	2935	1539
656	2939	1534
657	2942	1529
658	2945	1524
659	2949	1519
660	2952	1514
661	2956	1509
662	2959	1504
663	2962	1499
664	2966	1494
665	2969	1489
666	2973	1484
667	2976	1479
668	2980	1474
669	2984	1469
670	2987	1464
671	2990	1459
672	2994	1454
673	2997	1449
674	3001	1445
675	3004	1440
676	3008	1435
677	3011	1430
678	3015	1425
679	3018	1420
680	3022	1415
681	3025	1410
682	3029	1406
683	3032	1401
684	3036	1396
685	3040	1391
686	3043	1386
687	3046	1381
688	3050	1376
689	3053	1372
690	3057	1367
691	3060	1362
692	3064	1357
693	3067	1352
694	3071	1347
695	3074	1343
696	3078	1338
697	3081	1333
698	3085	1328
699	3088	1323
700	3092	1318
701	3095	1314
702	3099	1309
703	3102	1304
704	3106	1299
705	3109	1294
706	3113	1290
707	3116	1285
708	3120	1280
709	3123	1275
710	3126	1270
711	3130	1266
712	3133	1261
713	3137	1256
714	3140	1251
715	3144	1247
716	3147	1242
717	3151	1237
718	3155	1233
719	3158	1228
720	3162	1223
721	3165	1218
722	3169	1214
723	3172	1209
724	3176	1204
725	3179	1200
726	3183	1195
727	3187	1190
728	3190	1186
729	3194	1181
730	3197	1176
731	3201	1172
732	3204	1167
733	3208	1162
734	3211	1157
735	3215	1153
736	3218	1148
737	3222	1143
738	3225	1139
739	3228	1134
740	3232	1129
741	3235	1125
742	3239	1120
743	3242	1115
744	3246	1111
745	3249	1106
746	3253	1101
747	3256	1097
748	3260	1092
749	3264	1088
750	3267	1083
751	3271	1078
752	3274	1074
753	3278	1069
754	3281	1064
755	3285	1060
756	3288	1055
757	3292	1051
758	3295	1046
759	3299	1041
760	3302	1037
761	3306	1032
762	3309	1028
763	3313	1023
764	3316	1018
765	3320	1014
766	3323	1009
767	3327	1005
768	3331	1000
769	3334	996
770	3337	991
771	3341	986
772	3344	982
773	3348	977
774	3351	973
775	3355	968
776	3358	963
777	3362	959
778	3365	954
779	3369	950
780	3373	945
781	3376	941
782	3380	936
783	3383	932
784	3387	927
785	3390	923
786	3393	918
787	3397	914
788	3400	909
789	3404	904
790	3407	900
791	3411	895
792	3414	891
793	3418	886
794	3421	882
795	3425	877
796	3428	873
797	3432	868
798	3435	864
799	3439	859
800	3443	855
801	3446	850
802	3450	846
803	3453	841
804	3457	837
805	3460	832
806	3464	828
807	3467	823
808	3470	819
809	3474	815
810	3478	810
811	3481	806
812	3485	801
813	3488	797
814	3492	792
815	3495	788
816	3499	783
817	3502	779
818	3506	774
819	3509	770
820	3513	766
821	3516	761
822	3520	757
823	3524	752
824	3527	748
825	3531	743
826	3534	739
827	3538	734
828	3541	730
829	3545	726
830	3548	721
831	3552	717
832	3556	712
833	3559	708
834	3562	704
835	3566	699
836	3569	695
837	3573	690
838	3576	686
839	3580	681
840	3583	677
841	3587	673
842	3590	668
843	3594	664
844	3597	659
845	3601	655
846	3604	651
847	3608	646
848	3611	642
849	3615	637
850	3618	633
851	3622	629
852	3625	624
853	3629	620
854	3632	616
855	3636	611
856	3640	607
857	3643	603
858	3647	598
859	3650	594
860	3654	589
861	3658	585
862	3661	581
863	3665	576
864	3668	572
865	3672	568
866	3675	563
867	3679	559
868	3683	555
869	3686	550
870	3690	546
871	3693	542
872	3697	537
873	3700	533
874	3704	529
875	3707	524
876	3711	520
877	3714	516
878	3718	511
879	3722	507
880	3725	503
881	3729	498
882	3732	494
883	3736	490
884	3739	485
885	3743	481
886	3746	477
887	3750	473
888	3753	468
889	3757	464
890	3760	460
891	3764	455
892	3767	451
893	3771	447
894	3774	442
895	3778	438
896	3781	434
897	3785	429
898	3788	425
899	3792	421
900	3795	417
901	3799	412
902	3803	408
903	3806	404
904	3810	399
905	3813	395
906	3816	391
907	3820	387
908	3824	382
909	3827	378
910	3831	374
911	3834	370
912	3838	365
913	3841	361
914	3845	357
915	3848	352
916	3852	348
917	3855	344
918	3859	340
919	3862	335
