iter	Passed	Remaining
0	136	136571
1	139	69500
2	141	47064
3	144	35889
4	146	29251
5	149	24815
6	152	21600
7	154	19193
8	157	17308
9	159	15806
10	162	14576
11	164	13546
12	166	12671
13	169	11931
14	171	11275
15	174	10702
16	176	10222
17	179	9784
18	181	9386
19	184	9047
20	187	8722
21	189	8444
22	192	8174
23	194	7920
24	197	7711
25	200	7505
26	202	7304
27	205	7132
28	207	6957
29	210	6796
30	212	6654
31	215	6521
32	218	6398
33	220	6276
34	223	6155
35	226	6055
36	228	5951
37	231	5854
38	233	5761
39	236	5667
40	238	5577
41	241	5497
42	243	5419
43	246	5345
44	248	5273
45	250	5200
46	253	5131
47	255	5075
48	258	5013
49	260	4954
50	263	4897
51	265	4839
52	267	4783
53	270	4730
54	272	4681
55	274	4632
56	277	4584
57	279	4539
58	281	4495
59	285	4465
60	287	4424
61	289	4384
62	292	4345
63	294	4306
64	296	4270
65	299	4237
66	301	4203
67	304	4171
68	307	4144
69	309	4115
70	312	4086
71	314	4056
72	317	4027
73	319	4004
74	322	3976
75	324	3948
76	327	3924
77	329	3898
78	332	3872
79	334	3851
80	337	3831
81	340	3808
82	342	3788
83	345	3764
84	347	3739
85	349	3718
86	352	3700
87	355	3680
88	357	3659
89	360	3640
90	362	3621
91	365	3605
92	367	3587
93	370	3570
94	372	3552
95	375	3532
96	377	3516
97	380	3498
98	382	3481
99	384	3464
100	387	3447
101	389	3430
102	392	3415
103	394	3399
104	396	3381
105	399	3366
106	401	3350
107	403	3333
108	405	3318
109	408	3304
110	410	3289
111	413	3276
112	415	3263
113	418	3249
114	421	3242
115	424	3232
116	426	3219
117	429	3210
118	432	3199
119	434	3188
120	437	3176
121	439	3163
122	441	3151
123	444	3139
124	446	3127
125	449	3115
126	451	3102
127	453	3090
128	455	3078
129	458	3067
130	460	3056
131	463	3046
132	465	3036
133	468	3024
134	470	3014
135	473	3005
136	475	2994
137	477	2984
138	480	2973
139	482	2963
140	485	2954
141	487	2946
142	490	2938
143	493	2932
144	496	2924
145	498	2917
146	501	2909
147	503	2901
148	506	2894
149	509	2886
150	511	2878
151	514	2868
152	516	2859
153	518	2849
154	521	2840
155	523	2831
156	525	2822
157	527	2813
158	530	2804
159	532	2795
160	534	2786
161	537	2779
162	539	2771
163	541	2762
164	544	2757
165	547	2751
166	550	2744
167	553	2739
168	555	2732
169	558	2725
170	560	2717
171	562	2709
172	565	2701
173	567	2695
174	570	2687
175	572	2680
176	574	2672
177	577	2665
178	579	2658
179	581	2651
180	584	2643
181	586	2636
182	588	2629
183	591	2621
184	593	2614
185	595	2607
186	598	2600
187	600	2593
188	602	2586
189	605	2579
190	608	2575
191	610	2570
192	613	2564
193	615	2558
194	618	2552
195	620	2546
196	623	2541
197	625	2535
198	628	2528
199	630	2522
200	633	2516
201	635	2510
202	638	2504
203	640	2498
204	642	2491
205	644	2485
206	647	2480
207	650	2475
208	652	2470
209	655	2464
210	657	2458
211	660	2453
212	662	2447
213	664	2442
214	667	2437
215	669	2431
216	672	2426
217	674	2420
218	677	2414
219	679	2408
220	681	2402
221	683	2396
222	686	2390
223	688	2385
224	691	2381
225	694	2377
226	696	2372
227	699	2367
228	701	2361
229	704	2357
230	706	2353
231	709	2349
232	712	2344
233	714	2338
234	717	2335
235	719	2330
236	721	2324
237	724	2319
238	727	2314
239	729	2309
240	731	2304
241	734	2299
242	736	2293
243	738	2288
