,avg_weeks,target,std_weeks,distance,prcp_from,wspd_from,prcp_to,wspd_to,tavg_from,tavg_to,year,month,day,weekday,week,number_of_days
7323,12.25,12.6863013117,8.10394428926,1174.5829287181548,0.0,13.7,0.0,4.0,32.9,27.8,2011,9,1,3,35,15218
1998,12.6153846154,11.1551924865,7.84895877465,4193.040474037383,0.0,11.9,0.0,12.2,17.6,19.5,2011,9,1,3,35,15218
1999,9.05882352941,11.3769469452,6.95045491529,450.14670855770964,0.0,4.0,0.0,12.2,22.6,19.5,2011,9,1,3,35,15218
314,10.3043478261,12.5487292299,7.1759369525,1290.7817443101533,0.0,9.4,0.0,13.7,28.1,32.9,2011,9,1,3,35,15218
1424,12.2,11.6415950493,7.64852927039,1093.0584882782769,0.0,14.8,0.0,9.7,15.7,15.8,2011,9,1,3,35,15218
8175,12.0833333333,11.7162751714,7.77910616675,1088.3080558905829,0.0,4.0,0.0,9.4,22.6,28.1,2011,9,1,3,35,15218
8176,9.05555555556,11.2515595334,6.05341150507,376.72429941923696,0.0,5.8,0.0,9.4,27.0,28.1,2011,9,1,3,35,15218
1997,11.35,11.1598960848,8.33050829308,322.308613012642,0.0,6.8,0.0,12.2,23.6,19.5,2011,9,1,3,35,15218
6508,12.6071428571,11.6343241795,8.28805157693,1385.4629645185505,0.0,15.5,0.0,11.9,27.8,17.6,2011,9,1,3,35,15218
316,9.73684210526,11.1878712457,6.94295890544,2231.3448134878636,0.0,6.8,0.0,13.7,23.6,32.9,2011,9,1,3,35,15218
317,12.0,11.4264624844,8.12963154706,1425.6593718549848,0.0,9.4,0.0,15.5,28.1,27.8,2011,9,1,3,35,15218
318,10.6363636364,11.6196968437,6.75098197122,1553.2513524704468,0.0,14.8,0.0,15.5,15.7,27.8,2011,9,1,3,35,15218
319,11.2608695652,11.0335734103,8.42732240073,1092.4099523149664,0.0,13.7,0.0,15.5,27.5,27.8,2011,9,1,3,35,15218
7324,11.1818181818,11.0634934492,7.41707401965,959.3908039408326,3.0,6.1,0.0,4.0,27.5,27.8,2011,9,1,3,35,15218
7322,8.0625,10.7519416314,5.63877941875,2092.855649299586,0.0,13.7,0.0,4.0,32.9,22.6,2011,9,1,3,35,15218
315,11.4545454545,11.3217786796,7.92060166502,2352.0330372197063,0.0,14.8,0.0,13.7,15.7,32.9,2011,9,1,3,35,15218
1996,6.58333333333,12.5797022557,7.21687836487,296.6953343179436,0.0,6.8,0.0,12.2,23.6,19.5,2011,9,1,3,35,15218
8802,12.2222222222,10.4953769371,8.14924882491,1521.7251135396325,0.0,9.4,5.2,7.9,22.3,27.0,2011,9,1,3,35,15218
1960,10.1818181818,11.4944326819,7.37199568274,1071.232955569221,0.0,7.2,0.0,3.5,21.3,27.1,2011,9,2,4,35,15219
7576,12.12,11.1074922966,7.58463358816,2231.3448134878636,0.0,15.5,0.0,7.6,33.0,22.4,2011,9,2,4,35,15219
7575,11.625,10.798135343,7.3058195981,1694.934467213398,0.0,15.5,0.0,14.0,33.0,32.6,2011,9,2,4,35,15219
6226,8.29411764706,10.6374160288,5.54261564925,1459.0567901596264,0.0,3.5,0.5,11.2,27.1,25.3,2011,9,2,4,35,15219
1735,11.625,11.6343241795,7.28794418439,1983.2728516097663,0.0,13.7,0.0,15.5,16.3,33.0,2011,9,2,4,35,15219
1736,7.6,10.3488923627,5.3559046188,2092.855649299586,0.0,7.2,0.0,15.5,21.3,33.0,2011,9,2,4,35,15219
1737,12.6071428571,12.4289612465,8.28805157693,2802.168082731425,0.0,13.7,0.0,11.9,16.3,29.2,2011,9,2,4,35,15219
4877,12.0,11.1832377632,7.35980072194,1757.111034421543,0.0,10.1,1.0,6.1,20.4,27.1,2011,9,2,4,35,15219
1738,11.5217391304,11.3131445172,7.68628983212,536.5409602455643,0.5,11.2,0.0,11.9,25.3,29.2,2011,9,2,4,35,15219
7887,13.0,11.2782024973,7.93725393319,1757.111034421543,1.0,6.1,0.0,10.1,27.1,20.4,2011,9,2,4,35,15219
4068,12.4814814815,10.9034665704,8.50054464486,1511.2132640938614,0.0,10.0,0.0,7.6,27.2,22.4,2011,9,2,4,35,15219
7577,11.5217391304,12.7792662608,7.52492564275,1177.0302356818831,0.0,11.9,0.0,7.6,29.2,22.4,2011,9,2,4,35,15219
2995,10.1,10.91421574,6.78931048355,804.7565558911061,0.0,7.6,0.0,8.7,22.4,28.1,2011,9,2,4,35,15219
4502,12.2,10.9302242139,7.64852927039,1553.2513524704468,4.8,15.5,0.0,16.9,20.4,16.3,2011,9,2,4,35,15219
1961,11.0476190476,11.2604828794,7.92764902399,650.7999347470229,0.0,10.0,0.0,3.5,27.2,27.1,2011,9,2,4,35,15219
4503,13.0,11.834457965,7.93725393319,4151.777426513749,0.0,10.1,0.0,16.9,20.4,16.3,2011,9,2,4,35,15219
4504,11.8333333333,11.4142063017,7.46974574194,1093.0584882782769,0.0,11.2,0.0,16.9,16.7,16.3,2011,9,2,4,35,15219
4505,11.7916666667,11.4467121486,7.52375465163,1385.4629645185505,4.8,15.5,0.0,13.7,20.4,16.3,2011,9,2,4,35,15219
1962,11.1428571429,10.6864971708,7.81847628561,959.3908039408326,1.0,6.1,0.0,3.5,27.1,27.1,2011,9,2,4,35,15219
4506,12.5357142857,12.7333629886,8.16715256086,543.1729331167514,0.0,16.9,0.0,13.7,16.3,16.3,2011,9,2,4,35,15219
3957,10.5789473684,8.78315964437,6.4231853423,322.308613012642,0.0,9.1,0.0,15.5,21.1,24.2,2011,9,3,5,35,15220
4898,11.6538461538,9.80510140252,7.77144675176,1521.7251135396325,0.0,19.8,0.0,9.7,22.2,27.0,2011,9,3,5,35,15220
4899,12.4074074074,10.3848274968,8.29392390785,650.7999347470229,0.0,5.6,0.0,9.7,27.7,27.0,2011,9,3,5,35,15220
4251,12.68,9.31967973473,8.27002619907,1553.2513524704468,0.0,14.0,0.0,15.5,16.1,15.3,2011,9,3,5,35,15220
4252,12.7142857143,11.0880652902,8.43211296773,4151.777426513749,0.0,19.8,0.0,15.5,22.2,15.3,2011,9,3,5,35,15220
7349,12.68,10.0419527467,8.29517932296,1388.871587348477,0.0,9.7,0.0,11.5,27.0,23.2,2011,9,3,5,35,15220
4250,11.75,10.7924233148,7.46732010598,2963.9779183721243,0.5,10.1,0.0,15.5,25.4,15.3,2011,9,3,5,35,15220
8191,9.89473684211,9.29430552352,7.03873991913,1088.3080558905829,0.0,11.5,0.5,10.1,23.2,25.4,2011,9,3,5,35,15220
4900,13.1538461538,9.56713673055,8.32678717246,1388.871587348477,0.0,11.5,0.0,9.7,23.2,27.0,2011,9,3,5,35,15220
8192,11.7916666667,9.89053507658,7.55834791396,2313.1821871777165,0.0,8.3,0.5,10.1,35.9,25.4,2011,9,3,5,35,15220
7896,11.7692307692,9.82442774909,7.90598604759,959.3908039408326,14.5,7.6,0.0,5.6,27.3,27.7,2011,9,3,5,35,15220
8190,7.38461538462,8.83289527861,4.42603022919,450.14670855770964,0.0,11.5,0.0,9.1,23.2,21.1,2011,9,3,5,35,15220
5745,10.9047619048,10.0074151716,7.60857911771,1031.6020226928815,0.0,13.7,0.0,14.0,31.7,16.1,2011,9,3,5,35,15220
5744,10.9090909091,10.0333781304,7.13081235544,1553.2513524704468,0.0,15.5,0.0,14.0,15.3,16.1,2011,9,3,5,35,15220
4456,12.6923076923,10.2597131864,7.96878525633,1385.4629645185505,0.0,14.0,0.0,12.6,16.1,16.7,2011,9,3,5,35,15220
4457,11.9583333333,10.4751419203,7.74304269296,1983.2728516097663,0.0,13.7,0.0,12.6,31.7,16.7,2011,9,3,5,35,15220
4458,12.7307692308,11.3088123996,7.99778815577,379.99144221706285,0.0,10.1,0.0,12.6,33.4,16.7,2011,9,3,5,35,15220
4459,10.4090909091,10.8653489507,7.78067870041,3125.8186221876726,0.0,5.6,0.0,12.6,27.7,16.7,2011,9,3,5,35,15220
5746,13.0,10.3919321749,7.93725393319,1093.0584882782769,0.0,15.5,0.0,17.6,15.3,18.9,2011,9,3,5,35,15220
8003,11.2272727273,9.53373328676,7.60283041393,874.9324434757018,0.5,11.2,0.0,14.8,26.1,26.1,2011,9,4,6,35,15221
8848,11.7391304348,9.35710525328,7.94994220279,959.3908039408326,6.1,4.4,0.8,6.1,23.7,27.7,2011,9,4,6,35,15221
4272,11.6923076923,11.0184314401,7.85248613253,4151.777426513749,0.0,19.4,0.0,18.4,23.3,15.2,2011,9,4,6,35,15221
548,9.78947368421,8.81646366787,7.01252013163,2231.3448134878636,0.0,14.8,0.0,33.1,26.1,29.3,2011,9,4,6,35,15221
547,9.36842105263,9.20267425052,6.42227483335,2352.0330372197063,0.0,18.4,0.0,33.1,15.2,29.3,2011,9,4,6,35,15221
7952,9.33333333333,8.60708787176,6.71258694762,364.26621140416734,0.5,11.2,6.1,4.4,26.1,23.7,2011,9,4,6,35,15221
546,11.6086956522,10.6186723961,7.80290814338,1694.934467213398,0.0,11.5,0.0,33.1,34.0,29.3,2011,9,4,6,35,15221
7453,12.75,11.6160220134,8.47053717305,379.99144221706285,0.0,13.3,0.0,11.5,17.4,34.0,2011,9,4,6,35,15221
8831,13.0740740741,9.18920866311,8.06190436524,1388.871587348477,0.0,11.2,0.0,7.9,24.7,27.0,2011,9,4,6,35,15221
4273,11.0909090909,9.9633238567,7.4444552131,1425.6593718549848,0.0,18.4,0.0,14.0,19.4,15.2,2011,9,4,6,35,15221
4271,12.16,10.3990098902,7.60306955556,2963.9779183721243,0.0,18.4,0.0,18.4,19.4,15.2,2011,9,4,6,35,15221
4275,10.5,9.4058655668,7.51489748503,1491.0953131260428,0.0,18.4,0.0,30.6,19.4,28.1,2011,9,4,6,35,15221
4276,12.7857142857,9.91816485237,8.50427841282,2215.3690739508866,0.0,13.3,0.0,30.6,17.4,28.1,2011,9,4,6,35,15221
7951,8.61111111111,8.74925006011,6.97169815493,1459.0567901596264,0.0,18.7,6.1,4.4,16.2,23.7,2011,9,4,6,35,15221
7346,13.0,10.1740416176,8.31384387633,1388.871587348477,0.0,7.9,0.0,11.2,27.0,24.7,2011,9,4,6,35,15221
4879,13.5,11.9548207422,8.2259751195,3974.204435388782,0.0,19.4,0.0,13.3,23.3,17.4,2011,9,4,6,35,15221
4274,8.875,9.01954850233,7.18215380881,968.4139471761521,0.0,7.9,0.0,14.0,36.5,15.2,2011,9,4,6,35,15221
8680,11.4090909091,9.97222590586,7.71306307451,376.72429941923696,0.0,19.7,0.0,23.8,15.7,14.7,2011,9,5,0,36,15222
3196,13.1111111111,12.7792662608,8.1161440889,1177.0302356818831,0.0,23.8,0.5,16.2,14.7,25.6,2011,9,5,0,36,15222
3195,9.7619047619,11.0385935365,7.30687869001,650.7999347470229,1.3,16.5,16.0,10.8,28.7,23.7,2011,9,5,0,36,15222
7246,9.84210526316,10.3122511889,7.28974285398,450.14670855770964,0.0,14.2,2.0,11.5,24.3,25.0,2011,9,5,0,36,15222
2797,12.7037037037,11.5332877489,8.6549888451,650.7999347470229,16.0,10.8,1.3,16.5,23.7,28.7,2011,9,5,0,36,15222
2796,11.8636363636,9.68473862531,7.77845286701,2509.263091667265,0.0,27.4,0.0,14.2,24.6,24.3,2011,9,5,0,36,15222
2795,11.1666666667,11.3131445172,8.01447964986,1521.1963320926723,16.0,10.8,0.0,14.2,23.7,24.3,2011,9,5,0,36,15222
2785,9.14285714286,10.8038299298,6.30306048111,957.776642713542,16.0,10.8,0.0,19.7,23.7,15.7,2011,9,5,0,36,15222
2786,10.2380952381,10.4060608467,6.62498876908,804.7565558911061,0.5,16.2,0.0,19.7,25.6,15.7,2011,9,5,0,36,15222
2787,9.35,10.4683478299,7.21310941054,1198.955251895228,16.0,10.8,0.5,16.2,23.7,25.6,2011,9,5,0,36,15222
2788,12.4,11.2335837243,7.95822425754,1154.4354791567973,0.0,23.8,0.5,16.2,14.7,25.6,2011,9,5,0,36,15222
2793,11.8076923077,12.4989935957,8.0100897911,543.1729331167514,0.0,22.7,0.0,12.2,14.3,19.5,2011,9,5,0,36,15222
2789,11.2083333333,11.5863597459,7.97811771779,3125.8186221876726,16.0,10.8,0.0,12.2,23.7,19.5,2011,9,5,0,36,15222
2792,13.0,11.2649285925,7.93725393319,1385.4629645185505,0.0,14.8,0.0,12.2,21.4,19.5,2011,9,5,0,36,15222
2791,12.8,10.9826146183,8.21583836258,3941.0235676343978,0.5,16.2,0.0,12.2,25.6,19.5,2011,9,5,0,36,15222
2790,13.0344827586,12.2493060638,8.45780602512,2802.168082731425,0.0,23.8,0.0,12.2,14.7,19.5,2011,9,5,0,36,15222
3194,8.72222222222,10.1255979652,7.21767076291,364.26621140416734,41.1,13.3,16.0,10.8,24.2,23.7,2011,9,5,0,36,15222
2794,13.0344827586,12.9861805033,8.45780602512,3974.204435388782,0.0,24.1,0.0,12.2,23.2,19.5,2011,9,5,0,36,15222
3193,11.9166666667,10.3705364249,7.77910616675,3434.6793173256915,0.0,22.7,16.0,10.8,14.3,23.7,2011,9,5,0,36,15222
4338,11.4347826087,10.4819113497,7.3967197088,1093.0584882782769,0.0,6.1,0.0,22.7,19.5,14.3,2011,9,5,0,36,15222
6068,9.52631578947,10.3343221655,6.50101206696,1092.4099523149664,0.0,6.1,0.0,14.8,15.9,21.4,2011,9,5,0,36,15222
4337,12.12,12.4455389179,7.55160027191,543.1729331167514,0.0,12.2,0.0,22.7,19.5,14.3,2011,9,5,0,36,15222
4336,12.6153846154,10.91421574,7.83365520343,4118.396447609655,0.5,16.2,0.0,22.7,25.6,14.3,2011,9,5,0,36,15222
4335,13.037037037,11.6123399278,8.00231448001,664.8419403440406,0.0,14.4,0.0,22.7,30.4,14.3,2011,9,5,0,36,15222
3192,9.66666666667,10.016109713,7.13675930191,1459.0567901596264,0.0,6.1,16.0,10.8,15.9,23.7,2011,9,5,0,36,15222
3191,8.78947368421,10.4683478299,6.70471598013,976.059253098802,0.0,23.8,16.0,10.8,14.7,23.7,2011,9,5,0,36,15222
3189,13.037037037,10.4683478299,8.00231448001,2431.752262455142,0.0,23.8,0.0,14.4,14.7,30.4,2011,9,5,0,36,15222
3190,11.36,10.7751815054,7.76144316477,664.8419403440406,0.0,22.7,0.0,14.4,14.3,30.4,2011,9,5,0,36,15222
6585,12.5357142857,12.2571475992,8.16715256086,4151.777426513749,0.0,22.7,0.0,24.1,14.3,23.2,2011,9,5,0,36,15222
8674,8.82352941176,11.3389280028,6.28724198395,376.72429941923696,0.0,18.5,0.0,16.2,15.8,15.3,2011,9,6,1,36,15223
6786,13.0344827586,13.3004448162,8.45780602512,3974.204435388782,30.5,21.6,0.0,9.4,18.2,22.3,2011,9,6,1,36,15223
8465,12.5,12.7772937849,7.64852927039,4151.777426513749,0.0,16.9,30.5,21.6,14.4,18.2,2011,9,6,1,36,15223
3937,8.5625,10.9195671805,6.35577165522,364.26621140416734,4.3,19.4,1.5,16.1,25.3,18.4,2011,9,6,1,36,15223
3936,8.3125,11.0929410466,6.11793810582,1198.955251895228,80.8,20.5,1.5,16.1,18.2,18.4,2011,9,6,1,36,15223
137,10.6,12.6821523094,7.43675084683,1290.7817443101533,0.0,16.2,0.0,9.4,15.3,23.4,2011,9,6,1,36,15223
7213,10.1904761905,12.1717546803,6.51627997878,1071.232955569221,1.5,16.1,55.1,20.9,18.4,17.5,2011,9,6,1,36,15223
2451,11.347826087,10.7751815054,7.29014712192,1009.7230229928946,2.0,15.1,0.0,6.8,19.4,29.2,2011,9,6,1,36,15223
4784,7.26666666667,12.3312962231,6.55162647927,296.6953343179436,80.8,20.5,27.9,17.6,18.2,18.2,2011,9,6,1,36,15223
4783,10.5,11.6049538756,7.72505473044,450.14670855770964,55.1,20.9,27.9,17.6,17.5,18.2,2011,9,6,1,36,15223
4782,10.4285714286,11.2515595334,6.71246175834,4193.040474037383,0.0,9.4,27.9,17.6,22.3,18.2,2011,9,6,1,36,15223
139,11.1818181818,10.9566033772,7.35259179206,2313.1821871777165,0.0,16.2,0.0,10.8,15.3,35.1,2011,9,6,1,36,15223
140,10.35,11.4983548195,7.44294084492,968.4139471761521,2.0,15.1,0.0,10.8,19.4,35.1,2011,9,6,1,36,15223
