flight_date,from,to,avg_weeks,std_weeks
2013-01-22,ATL,MCO,10.3636363636,8.23202488858
2013-02-22,ATL,DEN,8.29411764706,5.54261564925
2013-01-31,ORD,EWR,8.93333333333,9.40719076533
2012-11-15,DFW,ORD,9.9,6.60860682826
2013-02-13,SEA,SFO,7.0,4.472135955
2013-02-06,SFO,DEN,10.5238095238,7.13876073012
2013-03-04,MIA,JFK,13.0,8.88350531416
2013-01-17,DTW,ATL,8.16666666667,6.22376848201
2012-12-20,SFO,JFK,18.4864864865,12.7771967488
2013-01-28,JFK,LAS,12.2272727273,10.1180264318
2012-12-25,DEN,LAX,15.0344827586,11.8908210657
2012-11-20,CLT,LGA,12.44,8.26680107418
2013-01-21,DEN,ORD,9.63157894737,7.15860419601
2013-01-10,PHL,MCO,13.0740740741,8.06190436524
2012-11-29,JFK,LAS,11.7826086957,8.06201261664
2012-12-13,LAX,ATL,10.7826086957,7.83904285518
2013-01-07,ORD,MSP,9.23529411765,9.41759929444
2013-01-19,ATL,LAX,13.3703703704,10.2249624718
2013-02-07,LAX,IAH,13.1739130435,11.332383902
2013-01-07,ATL,DTW,9.2,6.97816142276
2012-11-21,LAS,DEN,11.4090909091,8.15714171993
2013-02-16,ORD,PHX,9.27777777778,6.80661923127
2013-01-06,BOS,LGA,3.5,2.44948974278
2012-11-28,DFW,BOS,8.26666666667,8.85975383943
2013-01-01,LAX,BOS,13.6666666667,8.94857100754
2013-03-04,ATL,DTW,11.7777777778,10.8928230855
2013-02-18,ATL,BOS,12.3181818182,10.5034523288
2013-02-18,LAS,JFK,14.037037037,11.2266217999
2013-01-01,DFW,LGA,10.2727272727,7.63564210155
2012-12-27,LAX,IAH,14.8928571429,10.2463698566
2013-02-27,SFO,SEA,11.6,10.470007289
2012-11-25,SFO,ORD,10.3,7.63716673836
2013-01-08,ATL,MIA,11.2727272727,8.86502930558
2013-01-21,ATL,CLT,9.0625,8.18509824824
2013-01-02,DTW,LGA,9.84210526316,7.30496906903
2013-01-17,DEN,ATL,7.66666666667,6.05530070819
2012-12-23,LAX,DFW,14.36,10.9197069558
2013-01-20,ATL,LGA,8.29411764706,5.52001705027
2013-01-11,LAS,SFO,17.9142857143,13.1067369937
2012-12-15,DEN,ORD,11.4,7.56306816048
2013-01-18,LAX,ATL,14.1,9.3120241142
2012-11-16,ATL,PHL,9.85,6.49919023296
2012-12-08,LGA,BOS,3.0,2.82842712475
2013-01-05,DEN,PHX,13.0,12.4007168252
2013-01-08,SFO,BOS,10.3333333333,6.71813466174
2013-02-08,PHL,BOS,7.55555555556,8.79077799616
2013-02-15,CLT,LGA,9.0625,7.07548584904
2012-12-19,LGA,ORD,11.2777777778,10.7254812345
2013-01-22,DTW,ATL,8.94736842105,6.77801744375
2013-02-22,SEA,DEN,7.4,4.9106298694
2012-12-02,SFO,ORD,9.89473684211,7.22568517968
2013-01-21,DFW,BOS,9.83333333333,7.45377914413
2013-02-26,EWR,ORD,6.69230769231,5.03958687766
2012-11-22,DEN,DFW,9.63157894737,6.8411380333
2013-02-24,ATL,DEN,9.68421052632,8.83837988912
2012-12-17,PHL,ATL,10.1818181818,8.00378698246
2013-01-21,DFW,DEN,10.3333333333,6.80685928555
2012-12-26,ATL,LAX,16.1764705882,11.1231960423
2013-01-03,SFO,ORD,11.7142857143,9.80888809776
2012-12-08,ORD,MSP,12.6666666667,10.6973516972
2013-02-22,DEN,ATL,12.2,9.61687114015
2013-02-23,LGA,DFW,8.1875,5.94663770546
2013-01-25,EWR,SFO,13.5,11.3624496988
2012-11-29,ORD,SEA,12.7272727273,10.1097869517
2012-12-09,ORD,MSP,9.95238095238,7.98421060892
2012-11-21,SFO,JFK,16.935483871,11.9441351965
2013-01-14,BOS,SFO,10.0555555556,8.47468355975
2013-02-18,ORD,EWR,7.93333333333,6.40832791504
2013-01-07,SFO,DFW,9.7,9.13120733356
2013-02-09,SFO,JFK,11.6818181818,9.92057200557
2013-03-04,ORD,LAS,9.53333333333,8.77387898144
2013-02-22,DEN,LAX,10.2173913043,6.99971766794
2013-02-22,MIA,LGA,16.78125,12.0636333664
